Algoritmo,Max_repeticiones,Longitud,Tiempo
1,4,1605,0.005584001541137695
1,4,1046,0.003445863723754883
0,4,1198,0.09592819213867188
0,5,1231,0.10159921646118164
0,5,1474,0.1461176872253418
2,5,1007,0.03153872489929199
0,5,1682,0.19079852104187012
1,5,1544,0.0052947998046875
1,5,1265,0.004253864288330078
1,5,1634,0.005602598190307617
2,4,1108,0.03764009475708008
0,5,1002,0.06615304946899414
1,5,1269,0.004251718521118164
2,4,1091,0.03469347953796387
2,4,1107,0.03699231147766113
0,4,1241,0.10217046737670898
2,4,1496,0.06928420066833496
1,4,1141,0.0037903785705566406
2,6,1774,0.09626030921936035
0,5,1641,0.18158674240112305
1,6,1606,0.0055315494537353516
2,5,1723,0.09181451797485352
2,4,1115,0.03741192817687988
1,6,1651,0.005654335021972656
0,5,1052,0.07380557060241699
0,6,1770,0.21449828147888184
0,5,1539,0.15976428985595703
0,5,1553,0.1639113426208496
2,6,1761,0.09610176086425781
1,5,1578,0.005444049835205078
0,5,1377,0.1257941722869873
2,5,1436,0.06266641616821289
2,5,1611,0.07945799827575684
2,5,1668,0.0839688777923584
1,4,1172,0.003930807113647461
1,4,1126,0.0037097930908203125
0,6,1483,0.1471271514892578
1,6,1560,0.005346775054931641
1,5,1410,0.004774570465087891
2,5,1746,0.08965730667114258
0,4,1004,0.06591248512268066
0,4,1231,0.0994112491607666
0,4,1446,0.1406092643737793
2,4,1132,0.03873133659362793
2,4,1050,0.03338027000427246
2,5,1065,0.03465008735656738
0,5,1646,0.18454313278198242
1,7,1315,0.004572629928588867
2,4,1093,0.03577470779418945
1,5,1438,0.004904747009277344
0,5,1503,0.15361309051513672
0,5,1673,0.19118356704711914
0,5,1525,0.15621018409729004
2,5,1206,0.04389309883117676
2,4,1332,0.052995920181274414
1,4,1162,0.0038595199584960938
0,6,1638,0.18387603759765625
2,5,1432,0.06588935852050781
0,5,1488,0.14936399459838867
0,5,1388,0.129683256149292
0,5,1116,0.08167052268981934
2,5,1340,0.05379605293273926
2,5,1487,0.06677889823913574
2,5,1481,0.06517457962036133
1,5,1182,0.0039370059967041016
2,5,1629,0.08198332786560059
1,5,1409,0.004776716232299805
0,5,1298,0.11432647705078125
2,5,1681,0.08661937713623047
2,5,1385,0.05805230140686035
0,6,1642,0.18215250968933105
0,5,1462,0.142927885055542
1,6,1592,0.0054607391357421875
0,5,1477,0.14778995513916016
2,4,1003,0.029375314712524414
2,6,1433,0.062310218811035156
1,5,1257,0.004215717315673828
0,6,1309,0.11433744430541992
0,5,1406,0.1316678524017334
0,4,1012,0.06746435165405273
2,4,1061,0.032828330993652344
0,5,1320,0.11691737174987793
2,4,1000,0.03024005889892578
0,7,1716,0.20093798637390137
2,5,1538,0.07105207443237305
2,5,1445,0.06548261642456055
2,4,1285,0.050598859786987305
2,5,1037,0.03255009651184082
1,5,1180,0.003916263580322266
1,5,1488,0.00506281852722168
1,5,1088,0.0035851001739501953
0,4,1315,0.11533999443054199
2,6,1559,0.07503390312194824
0,5,1659,0.1882624626159668
2,4,1157,0.04038190841674805
0,4,1088,0.07682394981384277
2,5,1751,0.09782171249389648
0,6,1552,0.16255879402160645
1,4,1224,0.0041010379791259766
2,5,1707,0.09192085266113281
1,5,1725,0.00597381591796875
2,5,1478,0.06679177284240723
1,4,1194,0.004088163375854492
1,5,1787,0.00617671012878418
0,4,1060,0.074371337890625
0,5,1685,0.19407248497009277
2,5,1546,0.07411360740661621
1,6,1376,0.004666328430175781
0,4,1131,0.08333826065063477
2,5,1288,0.0492551326751709
0,4,1077,0.07729291915893555
1,5,1279,0.004403829574584961
2,5,1481,0.06778430938720703
0,4,1407,0.1343855857849121
0,5,1388,0.12911486625671387
2,5,1619,0.08326458930969238
2,5,1253,0.04822516441345215
2,7,1486,0.06821680068969727
2,5,1293,0.05132579803466797
1,5,1738,0.005995273590087891
0,4,1074,0.0757906436920166
1,4,1023,0.003250598907470703
2,5,1762,0.09439659118652344
2,6,1748,0.09507632255554199
2,5,1395,0.05893230438232422
2,4,1083,0.03538799285888672
2,5,1633,0.08242940902709961
2,5,1539,0.07204556465148926
2,4,1081,0.036459922790527344
2,5,1338,0.053874969482421875
0,5,1334,0.11919617652893066
1,5,1256,0.004209756851196289
0,6,1314,0.11614441871643066
1,4,1041,0.0034160614013671875
1,6,1617,0.005538463592529297
1,4,1058,0.003482341766357422
0,4,1042,0.07015347480773926
1,4,1083,0.003551006317138672
0,5,1132,0.08446598052978516
2,4,1275,0.0467071533203125
1,5,1129,0.0037238597869873047
0,5,1220,0.10010957717895508
0,5,1182,0.09238839149475098
2,4,1205,0.044083595275878906
0,5,1242,0.10207319259643555
1,5,1519,0.0051898956298828125
1,5,1536,0.005318403244018555
1,5,1120,0.003710031509399414
1,5,1019,0.0033342838287353516
2,5,1539,0.07258892059326172
0,6,1698,0.19861435890197754
1,5,1359,0.004609823226928711
2,5,1603,0.0784142017364502
1,6,1704,0.005866527557373047
1,5,1337,0.00452113151550293
0,6,1750,0.20755887031555176
1,4,1373,0.004739522933959961
2,5,1341,0.0537724494934082
0,5,1744,0.20901823043823242
1,5,1530,0.005253314971923828
1,4,1083,0.0036966800689697266
2,4,1368,0.05513882637023926
1,5,1506,0.005147218704223633
1,5,1719,0.005930900573730469
2,6,1609,0.07921910285949707
1,5,1299,0.0043790340423583984
2,5,1747,0.09479761123657227
0,5,1526,0.15944170951843262
0,5,1748,0.20705342292785645
1,7,1775,0.0061550140380859375
1,6,1747,0.006069183349609375
1,5,1305,0.004410266876220703
2,6,1293,0.05184221267700195
0,4,1043,0.07206511497497559
2,6,1750,0.09760546684265137
2,6,1769,0.09509396553039551
0,4,1200,0.09593319892883301
2,4,1231,0.04570817947387695
0,5,1407,0.13275885581970215
2,5,1330,0.05382084846496582
2,4,1284,0.049864768981933594
1,5,1174,0.003906965255737305
2,5,1388,0.0589139461517334
0,5,1751,0.21004462242126465
0,4,1492,0.15030169486999512
